opinion_id,author,recommendation,stars,content,pros,cons,useful,useless,post_date,purchase_date
6664881,Użytkownik Ceneo,Polecam,5/5,"Szczoteczka bardzo dobrze wykonana mała główka co jest niezwykle ważne u małych dzieci światełko zachęca do mycia zębów delikatne drgania nie odstraszają dziecka . Mój syn 1,5 roczny jest zachwycony tym bardziej ze może tak jak rodzice myć teraz ząbki szczoteczką soniczną .","['bardzo dobre lezy w ręce dziecka', 'dziecko jest zainteresowane myciem', 'głośność pracy', 'łatwa w użytkowaniu', 'łatwość czyszczenia', 'swiatło pomaga rodzicom oraz zacheca dzi', 'światełko pozwala zobaczyć zęby', 'wygoda używania']",[],7,0,2018-03-02 10:40:31,2018-02-27 22:43:47
11735462,Użytkownik Ceneo,Polecam,5/5,"Synek 13 miesięcy, ciągle by mył jak by mógł. Szczoteczka cicha, miła w dotyku w 100% spełnia swoje wymagania.",[],[],1,0,2020-02-13 10:51:40,2020-02-04 21:51:35
4619187,Agnieszka,Polecam,5/5,"Szczoteczka rewelacyjna moje dziecko bez problemu chce by mu myć ząbki a ma dopiero 1,5 roku;).",[],[],0,1,2017-04-28 22:19:42,2017-04-25 18:06:33
8533774,Soozik,Polecam,5/5,"Swietna szczoteczka od pierwszego zabka. Polecana przez dentystow. Świetnie myje zeby, koncowka myjaca jest podswietlana co ulatwia mycie i pozwala sprawdzic rodzicowi stan zabkow pociechy. Moj synek zaczal uzywac tej szczoteczki jak skonczyl roczek i duzo lepiej znosi czyszczenie zębów niz przy uzyciu tradycyjnej szczoteczki. Maly minus za trwalosc. Szczoteczka raz nam spadla i zlamal sie trzpień na ktorym mocuje sie szczoteczke, trzeba bylo kupic nowa. Niestety przy malym dziecku takie historie sie zdarzaja. Wymienne wklady dostepne glownie w sklepach internetowych wiec warto miec zapas.",[],[],0,2,2018-11-08 09:52:37,2018-09-18 13:01:18
13717341,p...5,Polecam,5/5,"Działa dobrze, cena przystępna","['cena', 'dopasowana do malutkich rączek', 'głośność pracy', 'jakość wykonania', 'ładny wygląd', 'łatwa w użytkowaniu', 'łatwość czyszczenia', 'ochrona przed wydostaniem się baterii', 'podświetlenie', 'skuteczne czyszczenie', 'wygoda używania', 'wyprofilowana']",[],0,0,2021-01-05 23:05:55,2020-12-05 22:43:21
14528073,Wojciech,Polecam,5/5,"Super, polecam.","['głośność pracy', 'ładny wygląd', 'łatwość czyszczenia', 'wygoda używania']",[],0,0,2021-05-28 10:31:59,2021-05-25 23:15:30
6636148,Gosia,Polecam,5/5,"Jeszcze nie mogę powiedzieć, że mój syn lubi myć zęby. Natomiast skończył się płacz przy myciu zębów, zaciskanie buzi i odwracanie głowy (i to nie jest tak, jak myślą niektóre mamusie, że to jest uch zasługa, że dziecko lubi myć zęby, bo myły mu od małego etc. - mój syn lubił myć zęby, a potem przestał, pomimo stosowania różnych sztuczek mycie stało się koszmarem)","['głośność pracy', 'łatwa w użytkowaniu', 'łatwość czyszczenia', 'wygoda używania']",[],9,0,2018-02-24 10:19:30,2018-02-12 14:49:48
8777534,Paulina,Polecam,5/5,"Dosyć poręczne i ciekawe urządzenie dla malucha, światełko i drgania wzbudzają zainteresowanie dziecka. Trudno ocenić łatwość czyszczenia u 10 miesiecznego szkraba, który chce wszystko sam... ale probujemy. Ponadto syn czyści wszystko dookoła, zabawki kubki i trochę ciężko wyczyścić włosie, no ale to nie  wina producenta. Brush baby i seysso to dokładnie takie same szczoteczki, różnią się tylko kolorem.",['łatwość czyszczenia'],[],3,0,2019-01-07 12:58:11,2018-11-27 11:20:08
9031792,Damian,Polecam,"4,5/5","Odkąd mamy tę szczoteczkę synek chętnie myje ząbki,jest zachwycony i domaga się mycia powyżej 2minut,przy zwykłej szczoteczce 30sekund bylo dla niego wiecznoscia. Mycie zębów od teraz jest juz tylko przyjemnością. Duży plus za podświetlenie ząbków,dzięki temu atutowi widzę lepiej każdy ząbek synka nawet ten dopiero wyżynający :-)","['cena', 'dopasowana do malutkich rączek', 'ładny wygląd', 'ładowanie za pomocą zwykłej baterii', 'ochrona przed wydostaniem się baterii', 'podświetlenie', 'wyprofilowana']",[],1,0,2019-02-01 20:21:45,2019-01-28 21:13:46
10344874,Paulina,Polecam,5/5,"Moim zdaniem obowiązkowa szczoteczka każdego dziecka. Kupiłam ja dla swojej niespełna rocznej córki. Najpierw ppdchodizla do niej sceptycznie. Ale światełko jak i sam jej wygląd zachęcił ja do siebie. Myjemy żeby codziennie i sprawia nam to obu przyjemność.
Dobre by oswoić dziecko do sonicznej szczoteczki jak podrosnie!",[],[],0,0,2019-04-03 16:48:47,2019-03-23 01:13:51
